道格瑞史考特,16575517875528174547480155804057181112,男
達柯塔強生,109410275879254245880094066517977400703,女
郭曉東,55552939919184477928893922533281488396,男
金凱利,226154296328203000557128089526154344320,男
陳妤,52134394642747306844571402639806283059,女
陳家樂,327893775531832796811622403783422265217,女
陳怡叡,291872946512353627814109154082240252152,男
陳沖,322517655782991216336340970300942340460,男
陳莘太,110743194435209954429339471325259819861,女
雷米馬利克,101383461900972028527821871859549663010,男
露易莎沃蕾許,137863968170530971335935439736334222358,男
露西波頓,210602423336142116537121304304563836031,女
鞏俐,49705262341475173734474243089920989102,男
馬龍白蘭度,295002017094914161419421825256903900489,女
麥茜威廉士,249532651702174430722462060776397114003,女
黃璐,254941152995110529734717103366532981382,男
黃秋生,254281035198068925543357862368406501522,男
黃軒,318567311890412684315584182020627203764,男
黛比雷諾,27912916513431206106140437402572166966,男
齋藤工,312072326637517258829203889784260514129,女
